Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2071,2.1743091590776453e-09,2.522795002850804e-07,1.2400351874401728e-08,0.19470952342388978,0.020042330181294647,26.909311331238452,-0.33119122166811704,0.055415932856110156,0.046650993917265356,0.10206692679351309
2072,1.8473138408196076e-09,2.404860238316718e-07,9.841567331634089e-09,0.19445877023763622,0.01894442169911289,26.88322863914856,-0.32972192870247524,0.051609172679571,0.043335284869944896,0.09494445753450409
2073,1.9491184223307575e-09,2.420182136213299e-07,1.073605565805822e-08,0.19395524321163804,0.019308334317524302,26.71251767435105,-0.3291055948960343,0.05147436673873549,0.042943384092515496,0.09441775082093447
2074,2.1212406594855206e-09,2.609032491554304e-07,1.209391742684493e-08,0.1933127574710984,0.019491667195661016,26.850538837833895,-0.32821994006059757,0.053577079649981874,0.045371480305483415,0.09894855994697226
2075,2.0631906625055332e-09,2.492112857295327e-07,1.0654675489608382e-08,0.19310824136277738,0.018783171422646888,26.721443292558746,-0.3276555655149689,0.052431475188086135,0.044317851058497414,0.09674932622709582
2076,1.7987961087484072e-09,2.3259817491541235e-07,9.961731152253079e-09,0.19320001519410632,0.01887471104085908,26.743856866008176,-0.3269344427501155,0.05034540251237463,0.04172250920245712,0.09206791166732237
2077,1.804320106831235e-09,2.356237363329451e-07,9.568272859895345e-09,0.19392804257035753,0.018760622690197713,27.057164177091238,-0.32592776962906655,0.050095038174420604,0.042052343402687486,0.09214738158485074
2078,2.0630079692127914e-09,2.5560142308291236e-07,1.1504178810477406e-08,0.19471940981498545,0.01917237185122805,27.15083917824032,-0.3252251547270929,0.05255877681306023,0.04506384259127979,0.09762261945717832
2079,2.0907465031203496e-09,2.56057123554308e-07,1.1077385678056203e-08,0.1935752921800257,0.01898430180097617,27.277327399997265,-0.3246040853416414,0.05334291397500258,0.04604479305168413,0.09938770700713813
2080,1.9721120529893306e-09,2.2585534549511576e-07,1.0726606569919739e-08,0.19391285336112743,0.01953857018978584,27.420198239648467,-0.32387654057775395,0.05266924667827869,0.04431776756682121,0.09698701423665722
2081,2.388520659230688e-09,2.5773824828316987e-07,1.3447206158530899e-08,0.1946314511080988,0.02062331323244813,26.995204443372618,-0.32292228740959783,0.05721571384486712,0.049169243063856394,0.10638495691289655
2082,1.8136787659277363e-09,2.3940080094860647e-07,1.0487922826087974e-08,0.19292659339683046,0.018567530767135316,27.038186211571972,-0.32181405278451997,0.050955801183420295,0.04294785156731712,0.09390365272289027
2083,1.946420645347612e-09,2.3435802514199988e-07,1.0094968624622722e-08,0.19225773322956372,0.018194742804480656,27.487735688565067,-0.32075541438200117,0.04986071117292007,0.04134161427904906,0.09120232545386227
2084,2.1575185318126427e-09,2.4934137552103315e-07,1.2472450158924497e-08,0.1928923464001907,0.019946950364098163,27.31537955591499,-0.3199059811963158,0.05292324570378667,0.04486740814458446,0.09779065381018444
2085,1.5323417746896487e-09,2.1451754752165886e-07,8.820251196062218e-09,0.1910126026571716,0.018153585760271148,27.425798473618993,-0.31862475460486644,0.046340077634904143,0.03851258819330989,0.08485266577457058
2086,1.6611976096881752e-09,2.2076745899496524e-07,8.567570838789013e-09,0.1910724773581504,0.018140247752003576,27.751251242882176,-0.3181793369815054,0.04600647132956411,0.03906349207835908,0.08506996341151746
2087,1.8185274164067928e-09,2.296914065779751e-07,9.513199141487622e-09,0.1938477132371479,0.019359795333053716,28.11910045915379,-0.3167069490596944,0.04918367451224024,0.04313699677166672,0.09232067129889117
2088,1.8163706132658845e-09,2.399508571892229e-07,9.00060664316849e-09,0.19200762992697104,0.018454102575857754,27.909205666672943,-0.3156389105928319,0.048481387578394784,0.042003406038105685,0.09048479359030814
